,level_0,index,AGENCY_ID,AGENCY_NAME,AGENCY_AKA_KEYWORDS,AGENCY_DESCR,AGENCY_HRS,AGENCY_TXT_HRS,AGENCY_WEB_URL,AGENCY_FB_URL,AGENCY_TW_URL,AGENCY_PHONE,AGENCY_PHONE_NOTE
13,13,14,14,Northern Indiana Hispanic Health Coalition,"Hispanic/Latino Health Coalition Of Elkhart County, Nihhc","""Northern Indiana Hispanic Health Coalition's mission is to provide preventive healthcare programs to the community through education, advocacy, physician referrals, research, and the building of leadership among Hispanics, so that they may lead healthier lifestyles.""","{""open"":{""Friday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Monday"":[[[8,0],[17,0]]]},""closed"":[]}",Mon-Fri 8am-5pm,www.nihhc.com,,,574-522-0966,
14,14,15,15,Chain Reaction Bicycle Project,"Chain Reaction Bicycle Shop, Chain Reaction Bike Project, Chain Reaction Bike Shop, Goshen Re-Cycles",A nonprofit organization promoting bicycling and increased access to bicycles in the community.,"{""open"":{""Wednesday"":[[[10,0],[15,0]]],""Friday"":[[[15,0],[19,0]]],""Saturday"":[[[10,0],[15,0]]]},""closed"":[]}",Wed 10am-3pm; Fri 3pm-7pm; Sat 10am-3pm,www.chainreactionbicycleproject.org,,,574-903-3056,
15,15,16,16,Women of Power Outreach Community Services,"Agape Church, Agape Missionary Baptist Church, Agape Missionary Church, Wop Outreach Community Services",A nonprofit serving Elkhart County on a monthly basis with a clothing pantry.,,Vary,,,,574-361-2738,Director's Phone
16,16,17,17,Blue River Township Trustee - Hancock County,,"An elected official responsible for administering the township, including such duties as providing township assistance, burial of the indigent, and maintaining the township budget.",,Vary,,,,317-467-4366,
17,17,18,18,Vernon Township Trustee - Hancock County,,"An elected official responsible for administering the township, including such duties as providing township assistance, burial of the indigent, and maintaining the township budget.","{""open"":{""Tuesday"":[[[13,0],[15,0]]],""Thursday"":[[[13,0],[15,0]]]},""closed"":[]}",Tues and Thurs 1pm-3pm,,,,317-485-7327,
18,18,19,20,Bashor Children's Home,"Bas, Basher, Bashior, Bashor Alternative School, Bashor Childrens Home, Bashor Elementary Education Program, Beep, Seasons, Transparenting","A nonprofit organization that provides residential care, day treatment, alternative education, foster care, and many other services.","{""open"":{""Friday"":[[[8,30],[17,0]]],""Monday"":[[[8,30],[17,0]]],""Thursday"":[[[8,30],[17,0]]],""Wednesday"":[[[8,30],[17,0]]],""Tuesday"":[[[8,30],[17,0]]]},""closed"":[]}",Mon-Fri 8:30am-5pm,www.bashor.org,,,574-875-5117,
19,19,20,21,Washington Township Trustee - Boone County,,"An elected official responsible for administering the township, including such duties as providing township assistance, burial of the indigent, and maintaining the township budget.","{""open"":{""Friday"":[[[16,0],[19,0]]],""Thursday"":[[[16,0],[19,0]]],""Wednesday"":[[[16,0],[19,0]]],""Tuesday"":[[[16,0],[19,0]]],""Monday"":[[[16,0],[19,0]]]},""closed"":[]}",Mon-Fri 4pm-7pm,,,,765-436-7608,
20,20,21,22,Westfield Washington Township Trustee - Hamilton County,,"An elected official responsible for administering the township, including such duties as providing township assistance, burial of the indigent, and maintaining the township budget.","{""open"":{""Friday"":[[[9,0],[16,0]]],""Thursday"":[[[9,0],[16,0]]],""Wednesday"":[[[9,0],[16,0]]],""Tuesday"":[[[9,0],[16,0]]],""Monday"":[[[9,0],[16,0]]]},""closed"":[]}",Mon-Fri 9am-4pm,www.westfieldwashingtontwp.us,,,317-574-9490,
21,21,22,23,Washington Township Trustee - Hendricks County,,"An elected official responsible for administering the township, including such duties as providing township assistance, burial of the indigent, and maintaining the township budget.","{""open"":{""Friday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]],""Monday"":[[[8,0],[16,30]]]},""closed"":[]}",Mon-Fri 8am-4:30pm,www.washingtontownshipindiana.org,,,317-272-1835,
22,22,23,24,Big Brothers Big Sisters of Elkhart County,,A nonprofit agency that matches at-risk youth with adult mentors.,"{""open"":{""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[12,0]]],""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]]},""closed"":[]}",Mon-Thur 8am-5pm; Fri 8am-noon,www.bbbselkhart.org,,,574-830-5013,
23,23,24,25,Family Christian Development Center,,"""Our mission is to demonstrate the love of Christ by bringing together the resources of our community in order to transform our community.""","{""open"":{""Tuesday"":[[[9,0],[12,0]],[[13,0],[16,0]]],""Monday"":[[[13,0],[16,0]],[[9,0],[12,0]]],""Friday"":[[[13,0],[16,0]],[[9,0],[12,0]]],""Thursday"":[[[13,0],[16,0]],[[9,0],[12,0]]],""Wednesday"":[[[13,0],[16,0]],[[9,0],[12,0]]]},""closed"":[]}",Mon-Fri 9am-noon and 1pm-4pm,www.fcdcin.org,https://www.facebook.com/fcdcin,,574-773-2149,
24,24,25,27,Master's Handyman Service,"Masters Handyman Service, The Master's Handyman Service",Provides free home repair services for seniors and widowed persons in Elkhart County,,Vary,www.themastershandyman.org,,,574-536-5497,
25,25,26,28,Serenity House,"Serenity House Inc, The Serenity House",A nonprofit organization that provides a residential substance use treatment facility for people recovering from chemical dependency.,,Daily 24 hours,www.serenityhouseinc.org,,,260-927-8902,
26,26,27,29,Boys and Girls Clubs of Elkhart County,"Boys & Girls Club, Boys Club, Boy's Club, Girl's Club",A nonprofit club for youth.,"{""open"":{""Friday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Monday"":[[[8,0],[17,0]]]},""closed"":[]}",Mon-Fri 8am-5pm,www.bgcelkhartcounty.org,,,574-534-5933,
27,27,28,30,Wayne Township Trustee - Hamilton County,,"An elected official responsible for administering the township, including such duties as providing township assistance, burial of the indigent, and maintaining the township budget.","{""open"":{""Monday"":[[[10,0],[15,0]]],""Tuesday"":[[[10,0],[15,0]]],""Wednesday"":[[[10,0],[15,0]]],""Thursday"":[[[10,0],[15,0]]]},""closed"":[]}",Mon-Thurs 10am-3pm,,,,317-773-3179,
28,28,29,31,Baugo Township Trustee - Elkhart County,,"An elected official responsible for administering the township, including such duties as providing township assistance, burial of the indigent, and maintaining the township budget.",,Mon and Fri 9am-2pm; Wed noon-4pm,,,,574-293-5873,
29,29,30,32,Benton Township Trustee - Elkhart County,,"An elected official responsible for administering the township, including such duties as providing township assistance, burial of the indigent, and maintaining the township budget.",,Vary,,,,574-642-3659,
30,30,31,33,Cleveland Township Trustee - Elkhart County,,"An elected official responsible for administering the township, including such duties as providing township assistance, burial of the indigent, and maintaining the township budget.","{""open"":{""Monday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Friday"":[[[8,0],[16,0]]]},""closed"":[]}","Mon, Wed, and Fri 8am-4pm",www.elkhartcountyindiana.com,,,574-343-2548,
31,31,32,34,Clinton Township Trustee - Elkhart County,,"An elected official responsible for administering the township, including such duties as providing township assistance, burial of the indigent, and maintaining the township budget.",,Mon and Thurs 8am-noon,,,,574-642-3202,
32,32,33,35,Concord Township Trustee - Elkhart County,,"An elected official responsible for administering the township, including such duties as providing township assistance, burial of the indigent, and maintaining the township budget.","{""open"":{""Monday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Friday"":[[[8,0],[16,0]]]},""closed"":[]}","Mon, Tues, Thurs, and Fri 8am-4pm",,,,574-293-6889,
33,33,34,36,Elkhart Township Trustee - Elkhart County,,"An elected official responsible for administering the township, including such duties as providing township assistance, burial of the indigent, and maintaining the township budget.","{""open"":{""Monday"":[[[9,0],[16,0]]],""Wednesday"":[[[9,0],[12,0]]],""Friday"":[[[9,0],[16,0]]]},""closed"":[]}",Mon and Fri 9am-4pm; Wed 9am-noon,,,,574-533-2066,
34,34,35,37,Harrison Township Trustee - Elkhart County,,"An elected official responsible for administering the township, including such duties as providing township assistance, burial of the indigent, and maintaining the township budget.",,Vary,,,,574-875-5039,
35,35,36,38,Jefferson Township Trustee - Elkhart County,,"An elected official responsible for administering the township, including such duties as providing township assistance, burial of the indigent, and maintaining the township budget.",,Mon and Thurs 10am-2pm,,,,574-535-9015,
36,36,37,39,Locke Township Trustee - Elkhart County,,"An elected official responsible for administering the township, including such duties as providing township assistance, burial of the indigent, and maintaining the township budget.","{""open"":{""Wednesday"":[[[9,0],[17,0]]],""Tuesday"":[[[9,0],[17,0]]],""Monday"":[[[9,0],[17,0]]],""Friday"":[[[9,0],[17,0]]],""Thursday"":[[[9,0],[17,0]]]},""closed"":[]}",Mon-Fri 9am-5pm,,,,574-773-3320,
37,37,38,40,Middlebury Township Trustee - Elkhart County,,"An elected official responsible for administering the township, including such duties as providing township assistance, burial of the indigent, and maintaining the township budget.","{""open"":{""Thursday"":[[[9,0],[16,0]]],""Wednesday"":[[[9,0],[16,0]]],""Tuesday"":[[[9,0],[16,0]]],""Monday"":[[[9,0],[16,0]]]},""closed"":[]}",Mon-Thurs 9am-4pm,,,,574-825-3446,
38,38,39,41,Olive Township Trustee - Elkhart County,,"An elected official responsible for administering the township, including such duties as providing township assistance, burial of the indigent, and maintaining the township budget.",,Vary,,,,574-862-1480,
39,39,40,42,Osolo Township Trustee - Elkhart County,,"An elected official responsible for administering the township, including such duties as providing township assistance, burial of the indigent, and maintaining the township budget.",,"Mon, Tues, Thurs, and Fri 9am-2pm",,,,574-262-2175,
40,40,41,43,Union Township Trustee - Elkhart County,,"An elected official responsible for administering the township, including such duties as providing township assistance, burial of the indigent, and maintaining the township budget.","{""open"":{""Friday"":[[[9,0],[16,0]]],""Thursday"":[[[9,0],[16,0]]],""Wednesday"":[[[9,0],[16,0]]],""Tuesday"":[[[9,0],[16,0]]],""Monday"":[[[9,0],[16,0]]]},""closed"":[]}",Mon-Fri 9am-4pm,,,,574-773-5534,
41,41,42,44,Washington Township Trustee - Elkhart County,,"An elected official responsible for administering the township, including such duties as providing township assistance, burial of the indigent, and maintaining the township budget.","{""open"":{""Friday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Monday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Fri 8am-4pm,,,,574-848-7024,
42,42,43,45,York Township Trustee - Elkhart County,,"An elected official responsible for administering the township, including such duties as providing township assistance, burial of the indigent, and maintaining the township budget.",,Vary,,,,574-848-9387,
43,43,44,46,Aubbeenaubbee Township Trustee - Fulton County,,"An elected official responsible for administering the township, including such duties as providing township assistance, burial of the indigent, and maintaining the township budget.",,Wed 6pm-7pm,,,,574-542-4505,
44,44,45,47,Henry Township Trustee - Fulton County,,"An elected official responsible for administering the township, including such duties as providing township assistance, burial of the indigent, and maintaining the township budget.",,Vary,,,,,
45,45,46,48,Liberty Township Trustee - Fulton County,,"An elected official responsible for administering the township, including such duties as providing township assistance, burial of the indigent, and maintaining the township budget.","{""open"":{""Tuesday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Monday"":[[[8,0],[17,0]]]},""closed"":[]}",Mon-Fri 8am-5pm,,,,574-857-2565,
46,46,47,49,Newcastle Township Trustee - Fulton County,,"An elected official responsible for administering the township, including such duties as providing township assistance, burial of the indigent, and maintaining the township budget.","{""open"":{""Wednesday"":[[[9,0],[17,0]]],""Tuesday"":[[[9,0],[17,0]]],""Monday"":[[[9,0],[17,0]]],""Friday"":[[[9,0],[17,0]]],""Thursday"":[[[9,0],[17,0]]]},""closed"":[]}",Mon-Fri 9am-5pm,,,,574-835-0194,
47,47,48,50,Richland Township Trustee - Fulton County,,"An elected official responsible for administering the township, including such duties as providing township assistance, burial of the indigent, and maintaining the township budget.","{""open"":{""Friday"":[[[9,0],[21,0]]],""Thursday"":[[[9,0],[21,0]]],""Wednesday"":[[[9,0],[21,0]]],""Tuesday"":[[[9,0],[21,0]]],""Monday"":[[[9,0],[21,0]]]},""closed"":[]}",Mon-Fri 9am-9pm,,,,574-223-4436,
48,48,49,51,Rochester Township Trustee - Fulton County,,"An elected official responsible for administering the township, including such duties as providing township assistance, burial of the indigent, and maintaining the township budget.","{""open"":{""Monday"":[[[9,0],[13,0]]],""Tuesday"":[[[9,0],[13,0]]],""Wednesday"":[[[9,0],[13,0]]],""Thursday"":[[[9,0],[13,0]]],""Friday"":[[[9,0],[11,0]]]},""closed"":[]}",Mon-Thurs 9am-1pm; Fri 9am-11am,,,,574-223-3258,
49,49,50,52,Union Township Trustee - Fulton County,,"An elected official responsible for administering the township, including such duties as providing township assistance, burial of the indigent, and maintaining the township budget.","{""open"":{""Friday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Monday"":[[[8,0],[17,0]]]},""closed"":[]}",Mon-Fri 8am-5pm,,,,574-653-2305,
50,50,51,53,Wayne Township Trustee - Fulton County,,"An elected official responsible for administering the township, including such duties as providing township assistance, burial of the indigent, and maintaining the township budget.","{""open"":{""Friday"":[[[9,0],[16,0]]],""Thursday"":[[[9,0],[16,0]]],""Wednesday"":[[[9,0],[16,0]]],""Tuesday"":[[[9,0],[16,0]]],""Monday"":[[[9,0],[16,0]]]},""closed"":[]}",Mon-Fri 9am-4pm,,,,574-653-2877,
51,51,52,54,Center For Community Justice,Vorp,"A nonprofit organization that provides programs that strengthen community safety, provide support and compensation and reconciliation to various individuals.","{""open"":{""Friday"":[[[9,0],[17,0]]],""Thursday"":[[[9,0],[17,0]]],""Wednesday"":[[[9,0],[17,0]]],""Tuesday"":[[[9,0],[17,0]]],""Monday"":[[[9,0],[17,0]]]},""closed"":[]}",Mon-Fri 9am-5pm,www.centerforcommunityjustice.org,,,574-295-6149,
52,52,53,55,JDRF - Indiana State Chapter,"Juvenile Diabetes Research Foundation, Juvenile Diabetes Research Foundation - Indiana State Chapter",A nonprofit foundation with a mission to fund research to find a cure for diabetes and its complications.,"{""open"":{""Wednesday"":[[[9,0],[17,0]]],""Tuesday"":[[[9,0],[17,0]]],""Monday"":[[[9,0],[17,0]]],""Friday"":[[[9,0],[17,0]]],""Thursday"":[[[9,0],[17,0]]]},""closed"":[]}",Mon-Fri 9am-5pm,www.jdrf.org/indiana,,,317-469-9604,
53,53,54,56,Nappanee United Methodist Church,,"A church with worship services and charitable outreach, including a thrift shop.","{""open"":{""Friday"":[[[8,0],[12,0]]],""Thursday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Monday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Thurs 8am-4pm; Fri 8am-noon,www.nappaneeumc.com,,,574-773-4183,Church Office
54,54,55,57,United We Stand Ministries of Akron,,"A church with worship services and charitable outreach, including a food pantry and financial assistance.","{""open"":{""Tuesday"":[[[9,0],[17,0]]],""Monday"":[[[9,0],[17,0]]],""Friday"":[[[9,0],[17,0]]],""Thursday"":[[[9,0],[17,0]]],""Wednesday"":[[[9,0],[17,0]]]},""closed"":[]}",Mon-Fri 9am-5pm,,https://www.facebook.com/United-We-Stand-Ministries-of-Akron-Indiana-740158099415908/,,574-223-4357,
55,55,56,58,Christ's Commissary Food Pantry,"Christ Commissary, Christs Commissary, First Brethren Church of Elkhart, Harvest Basket","A church with worship services and charitable outreach, including a food pantry.",,Vary,www.christscommissary.com,,,574-524-0931,Church
56,56,57,59,Northside Church of The Nazarene,North Side Church Of The Nazarene,"A church with worship services and charitable outreach, including baby and children's clothing.","{""open"":{""Monday"":[[[9,0],[16,30]]],""Tuesday"":[[[9,0],[16,30]]],""Wednesday"":[[[9,0],[16,30]]]},""closed"":[]}",Mon-Thurs 9am-4:30pm,www.elkhartnorthside.org,https://www.facebook.com/Elkhart-Northside-Nazarene-254292964641125/?ref=bookmarks,,574-264-5866,
57,57,58,60,First Brethren Church of Goshen,Bcin District Office,"A church with worship services and charitable outreach, including a thrift shop.","{""open"":{""Monday"":[[[8,30],[11,30]]],""Tuesday"":[[[8,30],[11,30]]],""Wednesday"":[[[8,30],[11,30]]],""Thursday"":[[[8,30],[11,30]]]},""closed"":[]}",Mon-Thurs 8:30am-11:30am,www.goshenfirstbrethen.org,,,574-533-7660,
58,58,59,61,Zion  Lutheran Evangelical Church,"Zion, Zion Church, Zion Evangelical Church, Zion Lutheran","A church with worship services and charitable outreach, including a community meal and clothing pantry.","{""open"":{""Monday"":[[[9,0],[14,0]]],""Tuesday"":[[[9,0],[14,0]]],""Wednesday"":[[[9,0],[14,0]]],""Thursday"":[[[9,0],[14,0]]]},""closed"":[]}",Mon-Thurs 9am-2pm,www.zionbristol.org,,,574-848-4880,
59,59,60,62,Saint John's Episcopal Church,"Saint John Episcopal Church, Saint John The Evangelist Episcopal Church, Saint Johns Episcopal Church, St Johns Episcopal Church, St. John The Evangelist Episcopal Church, St. John's Episcopal Church","A church with worship services and charitable outreach, including a food pantry.","{""open"":{""Monday"":[[[8,0],[15,30]]],""Tuesday"":[[[8,0],[15,30]]],""Wednesday"":[[[8,0],[15,30]]],""Thursday"":[[[8,0],[15,30]]]},""closed"":[]}",Mon-Thurs 8am-3:30pm,www.stjohnselkhart.org,,,574-295-1725,
60,60,61,63,White River Township Trustee - Hamilton County,,"An elected official responsible for administering the township, including such duties as providing township assistance, burial of the indigent, and maintaining the township budget.",,Vary,,,,317-385-6833,
61,61,62,64,Child and Parent Services,"CAPS, Joy Rose Center","A nonprofit agency working to prevent child abuse and strengthen families. CAPS offers home visits, supervised visitation, preschool, advocacy and education programs.","{""open"":{""Friday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Monday"":[[[8,0],[17,0]]]},""closed"":[]}",Mon-Fri 8am-5pm,www.capselkhart.org,www.Facebook.com/CAPSElkhart,,574-295-2277,
62,62,63,65,Church Community Services,Ccs,"A faith-based, nonprofit that provides community outreach through food distribution, job training, medical resources, and life skills workshops.","{""open"":{""Monday"":[[[9,0],[16,0]]],""Tuesday"":[[[9,0],[16,0]]],""Wednesday"":[[[9,0],[16,0]]],""Thursday"":[[[9,0],[16,0]]],""Friday"":[[[9,0],[14,0]]]},""closed"":[]}",Mon-Thurs 9am-4pm; Fri 9am-2pm,www.churchcommunityservices.org,,,574-295-3673,
63,63,64,66,Community Foundation of Elkhart County,,"A nonprofit organization that provides funding, grants, and scholarships for community projects and scholarships.","{""open"":{""Friday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Monday"":[[[8,0],[17,0]]]},""closed"":[]}",Mon-Fri 8am-5pm,www.inspiringgood.org,www.facebook.com/CommunityFoundationofElkhartCounty,,574-295-8761,
64,64,65,67,Fulton County Community Foundation,Northern Indiana Community Foundation,A nonprofit organization that provides various funding opportunities for residents through various endowments and funds.,"{""open"":{""Friday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]],""Monday"":[[[8,0],[16,30]]]},""closed"":[]}",Mon-Fri 8am-4:30pm,www.nicf.org,,,574-224-3223,
65,65,66,68,Council on Aging of Elkhart County,"COA Elkhart County, COA of Elkhart",A nonprofit organization committed to enhancing quality of life and dignity for older adults.,"{""open"":{""Friday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]],""Monday"":[[[8,0],[16,30]]]},""closed"":[]}",Mon-Fri 8am-4:30pm,www.elkhartcoa.org,,,574-295-1820,
66,66,67,69,Center For Problem Resolution,Cpr,"Provides addiction treatment as well as batterers intervention programs for domestic violence. Also provides Indiana state approved substance abuse education and DUI education. Grants are available through Access to Recovery, Drug Free Indiana funds and Office of Family and Children.","{""open"":{""Monday"":[[[9,0],[17,0]]],""Thursday"":[[[9,0],[17,0]]],""Wednesday"":[[[9,0],[17,0]]],""Tuesday"":[[[9,0],[17,0]]]},""closed"":[]}",Mon-Thurs 9am-5pm,www.centerforproblemresolution.org,,,574-533-0664,
67,67,68,70,Elder Haus Senior Center,"Elder Haus Senior Center, Elder House Senior Center, Elderhaus",Provides free transportation and recreational activities for older adults.,"{""open"":{""Tuesday"":[[[9,0],[16,0]]],""Monday"":[[[9,0],[16,0]]],""Friday"":[[[9,0],[16,0]]],""Thursday"":[[[9,0],[16,0]]],""Wednesday"":[[[9,0],[16,0]]]},""closed"":[]}",Mon-Fri 9am-4pm,www.nappanee.org/elderhaus.html,,,574-773-2424,
68,68,69,71,Elkhart Police Department,,"Provides law enforcement, crime investigation, crime prevention, emergency assistance, and other police duties for the city of Elkhart in Elkhart County.","{""open"":{""Friday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Monday"":[[[8,0],[17,0]]]},""closed"":[]}",Mon-Fri 8am-5pm,www.elkhartindiana.org/police,,,574-295-7070,
69,69,70,72,Elkhart Community School District,,"Administers the elementary, middle, and high schools within the district.",,School Year: Mon-Fri 7:30am-4:30pm Summer Hours: Mon-Fri 7:30am-4pm,www.elkhart.k12.in.us,,,574-262-5500,
70,70,71,73,Elkhart County Health Department,"Echd, Elkhart County Department Of Health, Elkhart Environmental Health Services","A government agency that provides public health nursing, works to control the spread of communicable disease, investigates environmental hazards, and maintains vital records for the county.","{""open"":{""Friday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Monday"":[[[8,0],[17,0]]]},""closed"":[]}",Mon 8am-5pm; Tues-Fri 8am-4pm,www.elkhartcountyhealth.org,,,574-523-2283,
71,71,72,74,Elkhart City Fire Department,,Provides emergency fire and medical services for the city of Elkhart in Elkhart County.,"{""open"":{""Friday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Monday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Fri 8am-4pm,www.elkhartindiana.org/fire,,,574-293-8931,Headquarters
